Protein A,Protein B
AGR2,BRD7
AGR2,CCDC90B
AGR2,MED31
AGR2,POM121
AGR2,UBQLN4
AGR3,DAG1
AGR3,LYPD3
AGRP,GHRL
AGRP,MC3R
AGRP,MC4R
AGRP,MC5R
AGT,AGTR1
AGT,ENPEP
AGT,EWSR1
AGTPBP1,CBY1
AGTPBP1,CYCS
AGTPBP1,NYNRIN
AGTR1,ADRBK1
AGTR1,ADRBK2
AGTR1,ARRB1
AGTR1,EGFR
AGTR1,GRK5
AGTR1,RAF1
AGTR1,THOP1
AGTR2,ACE
AGTR2,AGT
AGTR2,ERBB3
AGTRAP,AGTR1
AGTRAP,GNB2L1
AGXT,PEX5
AGXT,SNCAIP
AHCYL1,ITPR1
AHNAK,S100B
AHR,AR
AHR,CUL4B
AHR,EP300
AHR,ESR1
AHR,GTF2F2
AHR,HSP90AA1
AHR,NCOA2
AHR,NR2F1
AHR,RB1
AHR,RELA
AHR,TAF4
AHR,TBP
AHRR,ARNT
AHSA1,HSP90AA1
AHSA2,HSP90AA1
AHSG,DCN
AHSP,GRINL1A
AHSP,HBA2
AICDA,RPA1
AIF1,ACTA1
AIF1,LCP1
AIFM1,C4orf14
AIFM1,CASP3
AIFM1,EIF3G
AIFM1,HSPA1A
AIFM1,SETDB1
AIFM1,TSC22D4
AIFM1,WWC1
AIMP1,AIMP2
AIMP1,ATP5A1
AIMP1,MAPK14
AIMP1,RARS
AIMP2,C19orf57
AIMP2,EPRS
AIMP2,FHL3
AIMP2,LMO3
AIMP2,LNX1
AIP,AHR
AIP,ARNT
AIP,HSP90AA1
AIP,PDE4A
AIP,PPARA
AIP,PTGES3
AIP,TOMM20
AIRE,CREBBP
AJAP1,CTNNB1
AK2,SHBG
AK5,C7orf26
AK5,NUCKS1
AK5,RNF114
AK5,STRN4
AK5,TRIM46
AKAP1,CAV1
AKAP1,PRKAR1B
AKAP1,PRKAR2A
AKAP1,PRKAR2B
AKAP10,PDZK1
AKAP10,PRKAR1A
AKAP10,PRKAR2A
AKAP10,PRKAR2B
AKAP11,PPP1CA
AKAP11,PPP1CC
AKAP11,PRKAR1A
AKAP11,PRKAR2A
AKAP11,PRKAR2B
AKAP12,ADRB2
AKAP12,ADRBK1
AKAP12,PRKAR2A
AKAP12,PRKCA
AKAP13,ESR1
AKAP13,GNA12
AKAP13,GNAQ
AKAP13,PPARA
AKAP13,PRKAR2A
AKAP13,RHOA
AKAP13,RXRB
AKAP13,YWHAB
AKAP13,YWHAE
AKAP13,YWHAZ
AKAP14,PRKAR2A
AKAP14,PRKAR2B
AKAP2,PRKAR2A
AKAP3,AKAP4
AKAP3,GNA13
AKAP3,PRKAR2A
AKAP4,PRKAR1A
AKAP4,PRKAR2B
AKAP5,ADRB2
AKAP5,CALM1
AKAP5,DLG1
AKAP5,DLG4
AKAP5,GABRB3
AKAP5,IQGAP1
AKAP5,KCNJ2
AKAP5,PPP3CA
AKAP5,PRKAR2A
AKAP5,PRKAR2B
AKAP5,PRKCA
AKAP6,PDE4D
AKAP6,PRKAR2A
AKAP6,RYR2
AKAP7,PRKAR1A
AKAP7,PRKAR2A
AKAP8,CASP3
AKAP8,CCND1
AKAP8,CCND2
AKAP8,CCND3
AKAP8,DDX5
AKAP8,MCM2
AKAP8,PRKAR2A
AKAP8L,CDC6
AKAP8L,DHX9
AKAP8L,EMD
AKAP8L,LBR
AKAP8L,PRKACA
AKAP8L,TMPO
AKAP9,CALM3
AKAP9,CLIC1
AKAP9,CSNK1D
AKAP9,CSNK1E
