TF,Target
AR,SLC26A4
AR,PDZK1
AR,PECAM1
AR,SERPINF1
AR,PER1
AR,PET112
AR,PEX1
AR,PEX13
AR,PEX14
AR,PF4
AR,PF4V1
AR,PFDN1
AR,PFDN4
AR,ATP8B1
AR,PFKFB2
AR,VIT
AR,PFKP
AR,PFN2
AR,CDK14
AR,PGD
AR,PGF
AR,PGK1
AR,PGM3
AR,PGM5
AR,PHEX
AR,PHF2
AR,PHKA1
AR,PHKG2
AR,SERPINA1
AR,SERPINB5
AR,SERPINB6
AR,SERPINE2
AR,PIK3C2B
AR,PIK3C2G
AR,PIK3C3
AR,PIK3CA
AR,PIK3CB
AR,PIM1
AR,PIK3CD
AR,PIK3R1
AR,PI4KA
AR,PI4KB
AR,PIN1P1
AR,PIP4K2A
AR,PITPNA
AR,PITX2
AR,PKD2
AR,PKHD1
AR,PKM2
AR,PKNOX1
AR,PKP1
AR,PLAGL2
AR,PLAT
AR,PLAU
AR,PLCB4
AR,PLCG1
AR,PLCG2
AR,PLEC
AR,PLG
AR,PLGLB2
AR,PLGLB1
AR,FXYD3
AR,PLOD1
AR,PLOD2
AR,PLS3
AR,PLSCR1
AR,PLTP
AR,PLXNA2
AR,PLXNB1
AR,PMAIP1
AR,PNOC
AR,PML
AR,PMP22
AR,PMS1
AR,EXOSC9
AR,EXOSC10
AR,PRRX1
AR,UBL3
AR,4-Sep
AR,POLA1
AR,POLR2A
AR,POLR2B
AR,POLR2E
AR,POLR2J
AR,POLRMT
AR,PON2
AR,PPA1
AR,PPARA
AR,PPARD
AR,PPARG
AR,PPBP
AR,PPEF1
AR,PPM1B
AR,PPP1CB
AR,PPP1CC
AR,PPP1R2
AR,PPP1R3C
AR,PPP1R7
AR,PPP1R10
AR,PPP2CB
AR,PPP2R1A
AR,PPP2R1B
AR,PPP2R2B
AR,PPP2R3A
AR,PPP2R4
AR,PPP2R5A
AR,PPP2R5C
AR,PPP3CA
AR,PPP3CB
AR,PPP3R1
AR,PRCP
AR,PREP
AR,PRIM1
AR,PRIM2
AR,PRKAA2
AR,PRKAB2
AR,PRKACB
AR,PKIA
AR,PKIB
AR,PRKCA
AR,PRKCD
AR,PRKCE
AR,PRKCH
AR,PRKCI
AR,PKN2
AR,PRKD1
AR,PRKG1
AR,MAPK1
AR,MAPK4
AR,MAPK6
AR,MAPK8
AR,MAPK10
AR,MAP2K1
AR,MAP2K2
AR,MAP2K5
AR,EIF2AK2
AR,DNAJC3
AR,PRKX
AR,PRKY
AR,PRLR
AR,PROC
AR,PROX1
AR,PRPS1
AR,PRRG1
AR,LGMN
AR,TMPRSS15
AR,HTRA1
AR,PSEN1
AR,PSEN2
AR,PSG1
AR,PSG4
AR,PSG5
AR,PSG6
AR,PSG7
AR,PSG11
AR,PSMA1
AR,PSMA2
AR,PSMA5
AR,PSMB1
AR,PSMB2
AR,PSMB7
AR,PYY
AR,PSMC1
AR,PSMC4
AR,PSMD1
AR,PSMD2
AR,PSMD3
AR,PSMD8
AR,PSMD12
AR,PTCH1
AR,PTGDR
AR,PTGER2
AR,PTGER4
AR,PTGFR
AR,PTGFRN
AR,PTGIS
AR,PTGS1
AR,PTHLH
AR,PTK2
AR,PTK7
AR,PTMS
AR,QSOX1
AR,PTPN1
AR,PTPN2
AR,PTPN3
AR,PTPN4
AR,PTPN9
AR,PTPN12
AR,PTPN13
AR,PTPN14
AR,PTPRB
AR,PTPRC
AR,PTPRD
AR,PTPRE
AR,PTPRF
AR,PTPRG
AR,PTPRJ
AR,PTPRK
AR,PTPRM
AR,PTPRO
AR,PTPRR
AR,PTX3
AR,PURB
AR,PVT1
AR,PXN
AR,PYGB
AR,RAB3B
AR,RAB27A
AR,RAB5C
AR,RAD21
AR,RAD23A
AR,RAD23B
AR,RAD51B
AR,MOK
AR,RAF1
AR,RALA
AR,RALGDS
AR,RANBP2
AR,RANGAP1
AR,RAP1A
AR,RAP1GDS1
AR,RAP2B
AR,RARA
AR,RARB
AR,RARRES1
AR,RARRES2
AR,RASA1
AR,RASA2
AR,RASGRF1
AR,RB1
AR,RBBP4
AR,RBBP7
AR,RBBP8
AR,RBM3
AR,RBMS1
AR,RBMS2
AR,RCN1
AR,RCN2
AR,RDH5
AR,PRPH2
AR,RDX
AR,REN
AR,UPF1
AR,REV3L
AR,RFC1
AR,RFC4
AR,RFX1
AR,RFX2
AR,RFX3
AR,RGS1
AR,RGS2
AR,RGS3
AR,RGS4
AR,RGS7
AR,RGS12
AR,RGS13
AR,RHCE
AR,RHD
AR,RIT2
AR,RIT1
AR,RLF
AR,SNORA63
AR,BRD2
AR,ABCE1
AR,SNORA73A
AR,ROBO1
AR,ROCK1
AR,RORA
AR,RORC
AR,ROS1
AR,RP1
AR,RP2
AR,RPGR
AR,RPA3
AR,RPL3
AR,RPL10
AR,RPL13
AR,RPL15
AR,RPL23A
AR,RPL26
AR,RPL31
AR,RPL35A
AR,RPL37A
AR,RPLP1
AR,MRPL12
AR,RPN1
AR,RPS4X
AR,RPS6
AR,RPS6KA2
AR,RPS6KA3
AR,RPS12
