mir,gene
hsa-miR-9-5p,BCL2L11
hsa-miR-122-5p,BCL2L2
hsa-miR-125b-5p,BCL2L2
hsa-miR-133b,BCL2L2
hsa-miR-195-5p,BCL2L2
hsa-miR-203a-3p,BCL2L2
hsa-miR-204-5p,BCL2L2
hsa-miR-214-3p,BCL2L2
hsa-miR-335-5p,BCL2L2
hsa-miR-630,BCL2L2
hsa-miR-125b-5p,BCL3
hsa-miR-127-3p,BCL6
hsa-miR-155-5p,BCL6
hsa-miR-205-5p,BCL6
hsa-miR-21-5p,BCL6
hsa-miR-30b-5p,BCL6
hsa-miR-339-5p,BCL6
hsa-miR-30a-5p,BCL9
hsa-miR-30b-5p,BCL9
hsa-miR-30c-2-3p,BCL9
hsa-miR-30c-5p,BCL9
hsa-miR-30d-5p,BCL9
hsa-miR-129-5p,BDKRB2
hsa-miR-124-3p,BDNF
hsa-miR-132-3p,BDNF
hsa-miR-1-3p,BDNF
hsa-miR-16-5p,BDNF
hsa-miR-182-5p,BDNF
hsa-miR-204-5p,BDNF
hsa-miR-210-3p,BDNF
hsa-miR-22-3p,BDNF
hsa-miR-30a-5p,BDNF
hsa-miR-199a-5p,BECN1
hsa-miR-216a-5p,BECN1
hsa-miR-216b-5p,BECN1
hsa-miR-30a-5p,BECN1
hsa-miR-30b-5p,BECN1
hsa-miR-30d-5p,BECN1
hsa-miR-376b-3p,BECN1
hsa-miR-204-5p,BIRC2
hsa-miR-150-5p,BIRC5
hsa-miR-16-5p,BIRC5
hsa-miR-195-5p,BIRC5
hsa-miR-203a-3p,BIRC5
hsa-miR-218-5p,BIRC5
hsa-miR-335-5p,BIRC5
hsa-miR-34a-5p,BIRC5
hsa-miR-497-5p,BIRC5
hsa-miR-542-3p,BIRC5
hsa-miR-708-5p,BIRC5
hsa-miR-198,BIRC7
hsa-miR-138-5p,BLCAP
hsa-miR-125b-5p,BMF
hsa-miR-197-3p,BMF
hsa-miR-221-3p,BMF
hsa-miR-34c-5p,BMF
hsa-let-7g-5p,BMI1
hsa-miR-128-3p,BMI1
hsa-miR-15a-5p,BMI1
hsa-miR-16-5p,BMI1
hsa-miR-183-5p,BMI1
hsa-miR-194-5p,BMI1
hsa-miR-200b-3p,BMI1
hsa-miR-200c-3p,BMI1
hsa-miR-203a-3p,BMI1
hsa-miR-218-5p,BMI1
hsa-miR-300,BMI1
hsa-miR-302a-3p,BMI1
hsa-miR-302b-3p,BMI1
hsa-miR-30e-5p,BMI1
hsa-miR-320a,BMI1
hsa-miR-452-5p,BMI1
hsa-miR-487b-3p,BMI1
hsa-miR-494-3p,BMI1
hsa-miR-495-3p,BMI1
hsa-miR-544a,BMI1
hsa-miR-708-5p,BMI1
hsa-miR-194-5p,BMP1
hsa-miR-29b-3p,BMP1
hsa-miR-106a-5p,BMP2
hsa-miR-17-5p,BMP2
hsa-let-7i-5p,BMP4
hsa-miR-22-3p,BMP6
hsa-miR-22-3p,BMP7
hsa-miR-342-3p,BMP7
hsa-miR-34a-5p,BMP7
hsa-miR-542-3p,BMP7
hsa-miR-656-3p,BMPR1A
hsa-miR-125b-5p,BMPR1B
hsa-miR-22-3p,BMPR1B
hsa-miR-100-5p,BMPR2
hsa-miR-135a-5p,BMPR2
hsa-miR-135b-5p,BMPR2
hsa-miR-17-5p,BMPR2
hsa-miR-181c-5p,BMPR2
hsa-miR-19a-3p,BMPR2
hsa-miR-19b-3p,BMPR2
hsa-miR-20a-5p,BMPR2
hsa-miR-21-5p,BMPR2
hsa-miR-302c-3p,BMPR2
hsa-miR-20a-5p,BNIP2
hsa-miR-145-5p,BNIP3
hsa-miR-210-3p,BNIP3
hsa-miR-221-3p,BNIP3
hsa-miR-137,BNIP3L
hsa-miR-221-3p,BNIP3L
hsa-miR-30d-5p,BNIP3L
hsa-miR-143-3p,BRAF
hsa-miR-145-5p,BRAF
hsa-miR-146a-5p,BRCA1
hsa-miR-15a-5p,BRCA1
hsa-miR-16-5p,BRCA1
hsa-miR-20b-5p,BRCA1
hsa-miR-24-3p,BRCA1
hsa-miR-335-5p,BRCA1
hsa-miR-1245a,BRCA2
hsa-miR-146a-5p,BRCA2
hsa-miR-141-3p,BRD3
hsa-miR-200c-3p,BRD7
hsa-miR-155-5p,BRPF3
hsa-miR-22-3p,BSG
hsa-miR-181c-5p,BTBD3
hsa-miR-200b-3p,BTC
hsa-miR-200c-3p,BTC
hsa-miR-22-3p,BTG1
hsa-miR-372-3p,BTG1
hsa-miR-373-3p,BTG1
hsa-miR-21-5p,BTG2
hsa-miR-513a-5p,BTG3
hsa-miR-513b-5p,BTG3
hsa-miR-513c-5p,BTG3
hsa-miR-346,BTK
hsa-miR-10a-5p,BTRC
hsa-miR-183-5p,BTRC
hsa-miR-195-5p,BTRC
hsa-miR-497-5p,BTRC
hsa-miR-10b-3p,BUB1
hsa-miR-450a-1-3p,BUB1
hsa-miR-31-5p,C11orf30
hsa-miR-145-5p,C11orf65
hsa-miR-155-5p,C16orf62
hsa-miR-375,C1QBP
hsa-miR-155-5p,C3orf18
hsa-miR-23b-3p,CA2
